representation,method,regime,seed,budget,split,trees,n,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,error_rate,ece,brier,auroc,auprc
presto_primary,pseudo_label,none,44,0,target_val,500,2751,0.7534526854219948,0.9075785582255084,0.8233650083845724,0.7401367968432506,646,482,150,1473,0.22973464194838242,0.07835201731550558,0.16538006928382556,0.8334436709884069,0.8575466068446098
presto_primary,target_full,none,44,9249,target_val,500,2751,0.8896882494004796,0.9143561306223044,0.9018535399574598,0.8756177816232089,944,184,139,1484,0.11741185023627772,0.037625432773505885,0.08606150524533308,0.945722613320049,0.9528170003200765
presto_primary,source_only,none,45,0,target_val,500,2751,0.7599164926931107,0.8971041281577325,0.8228313082791749,0.7446513548590081,668,460,167,1456,0.22791712104689205,0.07938109226693867,0.1715588730705746,0.8127575455661742,0.8339140570814099
presto_primary,coral,none,45,0,target_val,500,2751,0.7204246713852376,0.878003696857671,0.7914468203276868,0.6938777349536582,575,553,198,1425,0.2729916394038531,0.06375886290827767,0.19119800579743346,0.7708904139519234,0.800957007420923
presto_primary,importance,none,45,0,target_val,500,2751,0.7569803516028956,0.9020332717190388,0.8231655889794771,0.7426833025261861,658,470,159,1464,0.22864412940748818,0.06769839775255496,0.17080871642027787,0.8098849429521551,0.8294775434788593
presto_primary,pseudo_label,none,45,0,target_val,500,2751,0.7502553626149132,0.9051139864448552,0.8204412175370008,0.7358016740734914,639,489,154,1469,0.2337331879316612,0.07921784576684827,0.16680097794133295,0.828231582351219,0.855365262652919
presto_primary,target_full,none,45,9249,target_val,500,2751,0.8863095238095238,0.9174368453481208,0.9016046018770815,0.8740553021066845,937,191,134,1489,0.11813885859687387,0.03697314133163933,0.0862672203022809,0.9454423993742436,0.9531623045788501
presto_primary,source_only,none,46,0,target_val,500,2751,0.7653221581980094,0.9001848428835489,0.8272933182332955,0.7515108611580865,680,448,162,1461,0.2217375499818248,0.07337352206689411,0.17036648146117248,0.8111194137465425,0.8297958228817786
presto_primary,coral,none,46,0,target_val,500,2751,0.7222501255650426,0.8860135551447936,0.7957941339236303,0.6978826640972196,575,553,185,1438,0.2682660850599782,0.0691510981046726,0.18974083907874797,0.77732768754124,0.8082875393358752
presto_primary,importance,none,46,0,target_val,500,2751,0.7618551328817093,0.9008009858287123,0.8255223037831734,0.7478295709285405,671,457,161,1462,0.22464558342420937,0.06842450484853498,0.16996826591527794,0.8130011623689604,0.8322030663854776
presto_primary,pseudo_label,none,46,0,target_val,500,2751,0.7560598246518824,0.9032655576093653,0.8231330713082537,0.7419696582373068,655,473,157,1466,0.22900763358778625,0.0765982128060733,0.1648777837014966,0.8331541712003425,0.8624048845990044
presto_primary,target_full,none,46,9249,target_val,500,2751,0.8855780691299165,0.9155884165126309,0.9003332323538322,0.872687825277592,936,192,137,1486,0.11959287531806616,0.034488434697265265,0.08665999392862765,0.9451332354496313,0.9528161986683796
