requested_coverage,n_accepted,coverage,risk,accuracy,f1_expected_counts,representation,score
0.9,2476,0.9000363504180298,0.2588852988691438,0.7411147011308562,0.8315374507227332,galileo,cosine_nn
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,cosine_nn
0.5,1376,0.500181752090149,0.24563953488372092,0.7543604651162791,0.8530434782608696,galileo,cosine_knn
0.7,1926,0.7001090512540894,0.24558670820353062,0.7544132917964694,0.8525101340816963,galileo,cosine_knn
0.8,2201,0.8000727008360596,0.25897319400272606,0.741026805997274,0.8423672566371682,galileo,cosine_knn
0.9,2476,0.9000363504180298,0.26090468497576735,0.7390953150242326,0.8305351521511017,galileo,cosine_knn
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,cosine_knn
0.5,1376,0.500181752090149,0.31468023255813954,0.6853197674418605,0.7992582290217896,galileo,mahalanobis
0.7,1926,0.7001090512540894,0.28400830737279337,0.7159916926272066,0.8226904376012966,galileo,mahalanobis
0.8,2201,0.8000727008360596,0.26942298955020444,0.7305770104497955,0.8342186189544311,galileo,mahalanobis
0.9,2476,0.9000363504180298,0.2726171243941842,0.7273828756058158,0.8242645144493621,galileo,mahalanobis
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,mahalanobis
0.5,1376,0.500181752090149,0.2311046511627907,0.7688953488372093,0.8669456066945607,galileo,centroid
0.7,1926,0.7001090512540894,0.2564901349948079,0.7435098650051921,0.8483732351135667,galileo,centroid
0.8,2201,0.8000727008360596,0.2666969559291231,0.7333030440708769,0.8387805547926394,galileo,centroid
0.9,2476,0.9000363504180298,0.2605008077544427,0.7394991922455574,0.830218478546986,galileo,centroid
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,centroid
0.5,1376,0.500181752090149,0.17805232558139536,0.8219476744186046,0.901329037454692,galileo,entropy
0.7,1926,0.7001090512540894,0.20093457943925233,0.7990654205607477,0.8774152676591701,galileo,entropy
0.8,2201,0.8000727008360596,0.21035892776010903,0.789641072239891,0.8643422209200117,galileo,entropy
0.9,2476,0.9000363504180298,0.22697899838449112,0.7730210016155089,0.8461959496442255,galileo,entropy
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,entropy
0.5,1376,0.500181752090149,0.17805232558139536,0.8219476744186046,0.901329037454692,galileo,confidence
0.7,1926,0.7001090512540894,0.20093457943925233,0.7990654205607477,0.8774152676591701,galileo,confidence
0.8,2201,0.8000727008360596,0.21035892776010903,0.789641072239891,0.8643422209200117,galileo,confidence
0.9,2476,0.9000363504180298,0.22697899838449112,0.7730210016155089,0.8461959496442255,galileo,confidence
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,confidence
0.5,1376,0.500181752090149,0.17805232558139536,0.8219476744186046,0.901329037454692,galileo,margin
0.7,1926,0.7001090512540894,0.20093457943925233,0.7990654205607477,0.8774152676591701,galileo,margin
0.8,2201,0.8000727008360596,0.21035892776010903,0.789641072239891,0.8643422209200117,galileo,margin
0.9,2476,0.9000363504180298,0.22697899838449112,0.7730210016155089,0.8461959496442255,galileo,margin
1.0,2751,1.0,0.247546346782988,0.752453653217012,0.8229789446321809,galileo,margin
0.5,1376,0.500181752090149,0.18332122093023256,0.8166787790697674,0.8966717869943677,galileo,vote_uncertainty
0.7,1926,0.7001090512540894,0.1868005076727818,0.8131994923272182,0.8808244387191756,galileo,vote_uncertainty
