representation,score,domain_auroc,domain_auprc,domain_target_prevalence,error_auroc,error_auprc,error_prevalence,sample_spearman,block_spearman,error_auroc_ci_low,error_auroc_ci_high,bootstrap_valid,aurc,risk_at_50,risk_at_70,risk_at_80,risk_at_90,risk_at_100
presto_primary,domain_probability,0.9994732662355553,0.9999399314395045,0.8975530179445351,0.3944515267681699,0.18401811706414362,0.2268266085059978,-0.15745546979137617,-0.6789430335598737,0.3463563241336976,0.43499805920546913,500,0.2885915657514546,0.28704798108867874,0.25849958063743106,0.24530370810470764,0.2350390673542935,0.2268266085059978
galileo,euclidean_nn,0.8367669428835375,0.9713523377180656,0.8975530179445351,0.44387622635084806,0.225434901521404,0.247546346782988,-0.08390844145621117,-0.3356749793910726,0.3667822539513285,0.5170246030173578,500,0.27076198204420077,0.27834302325581395,0.2632398753894081,0.2616992276238074,0.26453957996768984,0.247546346782988
galileo,cosine_nn,0.8273731381987326,0.9681952300885566,0.8975530179445351,0.4590148758220009,0.24092018958393155,0.247546346782988,-0.06127524415585491,-0.2714501701802246,0.38045334780604123,0.5350860110411751,500,0.2666712455324306,0.25944767441860467,0.26064382139148495,0.2612448886869605,0.2588852988691438,0.247546346782988
galileo,cosine_knn,0.6982162826719641,0.9425004013885263,0.8975530179445351,0.48985046145551797,0.25137073902137397,0.247546346782988,-0.01517417497748439,-0.22110728587692977,0.40653588641866645,0.5659294647950274,500,0.2503931113965334,0.24563953488372092,0.24558670820353062,0.25897319400272606,0.26090468497576735,0.247546346782988
galileo,mahalanobis,0.8366916952029024,0.9706205267988661,0.8975530179445351,0.3726162860811395,0.18899244034208557,0.247546346782988,-0.19044636892474828,-0.5666501395998774,0.31105657164168515,0.42926670546248985,500,0.3162239722524938,0.31468023255813954,0.28400830737279337,0.26942298955020444,0.2726171243941842,0.247546346782988
galileo,centroid,0.543197956967588,0.905411988242466,0.8975530179445351,0.5061964857023274,0.23859548654730742,0.247546346782988,0.009264121494008857,-0.1572169808807216,0.4242095496785998,0.571613737371465,500,0.232721601328045,0.2311046511627907,0.2564901349948079,0.2666969559291231,0.2605008077544427,0.247546346782988
galileo,entropy,0.7443778405999439,0.947317844639702,0.8975530179445351,0.6198046351273703,0.3516783637565906,0.247546346782988,0.17911518713714045,0.002174277395158916,0.5696508867492209,0.6654976117519855,500,0.188140815767224,0.17805232558139536,0.20093457943925233,0.21035892776010903,0.22697899838449112,0.247546346782988
galileo,confidence,0.7443778405999439,0.947317844639702,0.8975530179445351,0.6198046351273703,0.3516783637565906,0.247546346782988,0.17911518713714045,0.09667171803091179,0.5696508867492209,0.6654976117519855,500,0.188140815767224,0.17805232558139536,0.20093457943925233,0.21035892776010903,0.22697899838449112,0.247546346782988
galileo,margin,0.7443778405999439,0.947317844639702,0.8975530179445351,0.6198046351273703,0.3516783637565906,0.247546346782988,0.17911518713714045,0.09667171803091179,0.5696508867492209,0.6654976117519855,500,0.188140815767224,0.17805232558139536,0.20093457943925233,0.21035892776010903,0.22697899838449112,0.247546346782988
galileo,vote_uncertainty,0.7549524550424048,0.9499384911267571,0.8975530179445351,0.6462735959479878,0.44297493662110865,0.247546346782988,0.21869040552621224,0.22110728587692977,0.5998590903938069,0.6911876117223558,500,0.1814047360871513,0.18332122093023256,0.1868005076727818,0.1938629294376682,0.21082390953150243,0.247546346782988
galileo,tree_variance,0.7415543160911955,0.9457307616636283,0.8975530179445351,0.6229011045138224,0.36199332066100365,0.247546346782988,0.18374459642382723,0.04298379158121857,0.5748349379053944,0.6663509090665541,500,0.1872959920827294,0.1751453488372093,0.19885773624091382,0.21172194457064972,0.22495961227786754,0.247546346782988
galileo,domain_probability,0.9951065854454779,0.9994265470801268,0.8975530179445351,0.3826019564862698,0.19623653775274996,0.247546346782988,-0.17650931752411547,-0.5893964261953861,0.32355078102103296,0.443433778475164,500,0.3184609361096477,0.3066860465116279,0.2866043613707165,0.2719014714503937,0.25837139310628365,0.247546346782988
