representation,score,pool_quantile,actual_coverage,n,risk,f1
presto_primary,centroid,0.5,0.5521628498727735,1519,0.21329822251481237,0.8765243902439024
presto_primary,centroid,0.7,0.7317339149400218,2013,0.24788872329855938,0.844693432928727
presto_primary,centroid,0.8,0.8404216648491457,2312,0.2508650519031142,0.8294117647058824
presto_primary,centroid,0.9,0.9254816430388949,2546,0.2356637863315004,0.8276852383687536
presto_primary,centroid,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,entropy,0.5,0.6150490730643402,1692,0.16193853427895982,0.8896051571313457
presto_primary,entropy,0.7,0.7789894583787713,2143,0.17965468968735418,0.8722203783604381
presto_primary,entropy,0.8,0.8560523446019629,2355,0.20127388535031848,0.853522867737948
presto_primary,entropy,0.9,0.9185750636132316,2527,0.2113177681044717,0.8419182948490231
presto_primary,entropy,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,confidence,0.5,0.6150490730643402,1692,0.16193853427895982,0.8896051571313457
presto_primary,confidence,0.7,0.7789894583787713,2143,0.17965468968735418,0.8722203783604381
presto_primary,confidence,0.8,0.8560523446019629,2355,0.20127388535031848,0.853522867737948
presto_primary,confidence,0.9,0.9185750636132316,2527,0.2113177681044717,0.8419182948490231
presto_primary,confidence,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,margin,0.5,0.6150490730643402,1692,0.16193853427895982,0.8896051571313457
presto_primary,margin,0.7,0.7789894583787713,2143,0.17965468968735418,0.8722203783604381
presto_primary,margin,0.8,0.8560523446019629,2355,0.20127388535031848,0.853522867737948
presto_primary,margin,0.9,0.9185750636132316,2527,0.2113177681044717,0.8419182948490231
presto_primary,margin,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,vote_uncertainty,0.5,0.6015994183933115,1655,0.15226586102719034,0.8889867841409692
presto_primary,vote_uncertainty,0.7,0.767357324609233,2111,0.18048318332543817,0.8680290959473502
presto_primary,vote_uncertainty,0.8,0.8531443111595783,2347,0.190029825308905,0.8584126984126984
presto_primary,vote_uncertainty,0.9,0.9363867684478372,2576,0.20496894409937888,0.841726618705036
presto_primary,vote_uncertainty,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,tree_variance,0.5,0.6081424936386769,1673,0.1589958158995816,0.8931726907630522
presto_primary,tree_variance,0.7,0.7793529625590694,2144,0.177705223880597,0.8732956434985035
presto_primary,tree_variance,0.8,0.8516902944383861,2343,0.1946222791293214,0.8579439252336448
presto_primary,tree_variance,0.9,0.926208651399491,2548,0.20996860282574567,0.841762792073351
presto_primary,tree_variance,1.0,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,domain_probability,0.5,0.5779716466739367,1590,0.27672955974842767,0.7857838364167478
presto_primary,domain_probability,0.7,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,domain_probability,0.8,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,domain_probability,0.9,1.0,2751,0.2268266085059978,0.823828345567476
presto_primary,domain_probability,1.0,1.0,2751,0.2268266085059978,0.823828345567476
galileo,euclidean_nn,0.5,0.5136314067611778,1413,0.28096249115357397,0.8279150411790204
galileo,euclidean_nn,0.7,0.7466375863322429,2054,0.2590068159688413,0.8419489007724302
galileo,euclidean_nn,0.8,0.821882951653944,2261,0.2649270234409553,0.837976737895591
galileo,euclidean_nn,0.9,0.8774990912395493,2414,0.27050538525269263,0.8290128305839225
